nid,vid,type,language,title,uid,status,created,changed,comment,promote,sticky,tnid,translate,pubdate,body
14,14,communication,und,Coats Promoted to Senior Vice President,1,1,1307037588,1307114288,0,1,0,0,0,2011-04-25T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Coats_FINAL_4_20_06.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
15,15,communication,und,Portland Business Journal Honors Ferguson Wellman at Corporate Philanthropy Awards Event,1,1,1307037654,1307114795,0,1,0,0,0,2009-10-02T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/PBJ_Corp_Philanthropy_Award_Darft_10_01_09.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
16,16,communication,und,Treasuries World's Worst-Performing Bonds Before 10-Year Sale,1,1,1307037902,1307118778,0,1,0,0,0,2011-02-09T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Fovinci_TreasuriesWorldWorst-PerformingBondsBefore10Year.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
17,17,communication,und,Deficit Cost Drop Gives Obama Stimulus Clinton Missed,1,1,1307037955,1307118668,0,1,0,0,0,2011-08-30T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Deficit%20Cost%20Drop%20Gives%20Obama%20Stimulus%20Clinton%20Missed.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
18,18,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307038082,1307039607,0,1,0,0,0,2010-07-19T00:00:00,"<p>
	Mark Kralj discusses retirement age and Social Security</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""349"" src=""http://www.youtube.com/embed/0vkYSwX8Ea8"" width=""425""></iframe></p>
"
19,19,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307038168,1307039598,0,1,0,0,0,2011-06-02T00:00:00,"<p>
	Jason Norris, CFA, discusses how the economic uncertainty in Europe is affecting U.S. markets</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""349"" src=""http://www.youtube.com/embed/xqdKUMK3G6k"" width=""425""></iframe></p>
"
20,20,communication,und,Rough Rice II: Fat Tails Wag the Dog,1,1,1307038289,1312855268,0,1,0,0,0,2011-04-01T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/market/market_letter_2011_Q1.pdf"">Download PDF</p>
"
21,21,communication,und,Twin Hurricanes Impact Nation's Economy,1,1,1307038322,1312855441,0,1,0,0,0,2005-10-01T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/market/market_letter_2005_Q3.pdf"">Download PDF</p>"
22,22,communication,und,Outlook 2011,1,1,1307038378,1307127401,0,1,0,0,0,2010-12-22T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/Outlook%202011_FINAL_12_22_10.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
23,23,communication,und,Outlook 2010,1,1,1307038424,1316629114,0,0,0,0,0,2009-12-22T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/2010OutlookFinal.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
39,39,communication,und,Umpqua Bank and Ferguson Wellman Forge Strategic Alliance,1,1,1307114879,1307114879,0,1,0,0,0,2009-10-01T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Umpqua_Allilance_10_1_09.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
40,40,communication,und,Helena Lankton Recognized by Business Journal,1,1,1307114974,1307114974,0,1,0,0,0,2009-04-23T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Lankton_Orchid_Award_FINAL_4_23_09%20_2_.pdf"" target=""_blank"">Downaload press release</a> (pdf)</p>
"
41,41,communication,und,Deidra Krys-Rusoff Promoted to Portfolio Manager,1,1,1307115068,1307115068,0,1,0,0,0,2008-12-12T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/KrysRusoff_Promotion_FINAL_12_24_08.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
42,42,communication,und,Natalie Miller Promoted to Sales and Marketing Associate,1,1,1307115169,1307115169,0,1,0,0,0,2008-12-12T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/NMiller_Promotion_FINAL_12_24_08.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
43,43,communication,und,Joe Brooks Promoted to Trader,1,1,1307115247,1307115247,0,1,0,0,0,2008-12-12T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Brooks_Promotion_FINAL_12_24_08.pdf"" target=""_blank"">Downaload press release</a> (pdf)</p>
"
44,44,communication,und,Portland Business Journal Honors Ferguson Wellman at Corporate Philanthropy Awards Event,1,1,1307115343,1307115343,0,1,0,0,0,2008-09-26T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/PBJ_Corp_Philanthropy_Award_Final.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
