nid,vid,type,language,title,uid,status,created,changed,comment,promote,sticky,tnid,translate,body
2,2,page,und,About Us,1,1,1306512515,1432484994,1,0,0,0,0,"<p>Ferguson Wellman Capital Management is an established investment advisory firm that has managed growth carefully in order to provide the high level of personalized service our clients have expected from us for more than 39 years.</p>
<p>We create and deliver investment strategies, services, communication and education to individuals and institutions.</p>
<p>Since our inception in 1975, Ferguson Wellman has been an independent, employee-owned firm solely dedicated to investment management. Contrary to industry trends, we are committed to maintaining our employee ownership structure, as we believe it best serves our clients and staff.</p>
<p>The prospect of ownership has been a powerful tool for us in recruiting and retaining outstanding professionals who have brought expertise to our firm and continue to identify ways to best serve our individual and institutional clients. Seventy-seven percent of our 43 employees own shares in the firm and six principal owners share firm-wide management responsibilities.</p>
<p>Our principal owners are in their 50s and 60s, providing a stable environment for long-term relationships with clients. There has been no turnover in investment professionals in the last 26 years.</p>
<p>The firm is led by a board of directors and investment professionals who work in a team structure for investment management and client service. Since 2007, a percentage of outstanding shares have been sold between the board of directors and the firm's executive and senior vice presidents. This is an ongoing exchange to transition ownership.</p>
<p>In addition to providing consistent investment management performance, reputable service and comprehensive reporting, many of our employees are active, contributing leaders in communities where we serve clients.</p>
"
3,3,page,und,Expertise,1,1,1306512552,1432483090,1,0,0,0,0,"<p><strong>Our in-house expertise</strong><br />
<p>As a 100 percent <a href=""http://fergusonwellman.com/about-us/people"">employee</a>-owned firm, we are able to attract and retain professionals who have enabled us to have in-house expertise on creating balanced portfolios and developing a wide range of investment strategies.</p>
<p>Our investment team consists of <a href=""[site:url]about-us/investment-team"">portfolio managers and analysts</a> who possess an average of more than 24 years of experience. Eight of our professionals have their <a href=""https://www.cfainstitute.org/pages/index.aspx"">Chartered Financial Analyst </a>(CFA) designation and nine have completed their MBAs. Other designations our professionals have earned include <a href=""http://www.cfp.net/"">Certified Financial Planner</a> (CFP), <a href=""http://caia.org/"">Chartered Alternative Investment Analyst</a>, (CAIA) and <a href=""http://www.mta.org/eweb/StartPage.aspx"">Chartered Market Technician</a> (CMT).</p>
<p><strong>Our investment approach </strong></p>
<p>We use individual securities to build diversified portfolios. This enables us to manage the risk of these portfolios specifically to each of our client's risk tolerances and return requirements. Individual securities also afford us the ability to structure portfolios to meet a client's liabilities, cash flow or income needs by limiting the sale of securities to raise cash. This reduces transaction costs to the portfolio.</p>
<p>We start with asset allocation and use multiple asset class strategies to provide competitive returns while reducing volatility (risk). We are active managers of many asset classes, including large-cap domestic equities, international equities (developed markets and emerging markets), real estate investment trusts (REITs) and several fixed income strategies. If appropriate, small-cap equities, private equity and hedge funds are strategies which are outsourced to managers that have been thoroughly vetted by our investment team.</p>
"
4,4,page,und,Individuals and Families,1,1,1306512585,1432489832,1,0,0,0,0,"<p>For more than 39 years, Ferguson Wellman has helped individuals and families navigate through the complexities of wealth management. We currently serve individual clients in 34 states and work with nearly 100 multi-generational families. Our minimum is $3 million.</p>
<p>We start with establishing clients' goals and objectives to create their investment policy. From there, clients can follow one of two paths. Some will contact us periodically to help them navigate through other financial challenges and opportunities that arise throughout our relationship. Other clients prefer that we guide them through the milestones we anticipate they will face throughout their lives. We call this path our <a href=""individuals-and-families/wealth-management""><em>Wealth Management Framework</em></a>.</p>
<p>Serving individuals and families beyond investment management:</p>
<ul>
	<li>
		Identifying income needs and optimizing after-tax returns</li>
	<li>
		Aggregating value of assets and assessing net worth</li>
	<li>
		Collecting and storing pertinent information in the event of an emergency</li>
	<li>
		Analysis of large purchases and sales</li>
	<li>
		Providing timely communication regarding the economy and capital markets</li>
	<li>
		Offering family members education on savings, investing and retirement</li>
	<li>
		Partnering with professionals to provide seamless service delivery:
		<ul>
			<li>
				Estate and tax planning</li>
			<li>
				Trust services, gifting and charitable vehicle options</li>
			<li>
				Customized lending and private banking</li>
			<li>
				Expertise on wealth transition and heritage planning</li>
			<li>
				Best practices on family businesses and foundations</li>
		</ul>
	</li>
</ul>
"
5,5,page,und,Institutions,1,1,1306512611,1320950800,1,0,0,0,0,"<p>
	Since the early years, institutions have been a significant segment of Ferguson Wellman's client base. Providing investment strategies for Taft-Hartley plans, foundations, endowments, corporate reserves and health and welfare pensions&mdash;Ferguson Wellman has evolved and adapted to the changing needs of institutions.</p>
<p>
	Whether an institution requires a balanced portfolio or one specific investment strategy, Ferguson Wellman has the in-house expertise and flexibility to accommodate any structure, objectives and goals.</p>
<p>
	We welcome the opportunity to participate in an RFP process or give a presentation on our investment approach and offerings. With a number of our professionals serving as trustees and investment committee members on various boards, we can offer advice and guidance to any institution undergoing this process for the first time.</p>
"
6,6,page,und,Consultants and Professionals,1,1,1306512643,1388533251,1,0,0,0,0,"<p>Many of our clients established their relationship with our firm through consultants and other professionals such as accountants, attorneys, private bankers and custodians.</p>
<p>Serving individuals, families and institutions, we have been hired through RFPs, presentations and meetings, and referrals. We provide prospects with information about our investment expertise and approach; our breadth of investment strategies and services; and sample portfolios and references.</p>
<p>Conversely, we provide clients with recommendations on professionals we have worked with that can help them achieve their needs and goals.</p>
"
7,7,page,und,Communication,1,1,1306512676,1369423045,1,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"" id=""communications_icons_full"">
	<tbody>
		<tr>
			<td>
				<h2 class=""communication-title"">
					Media Coverage</h2>
			</td>
			<td rowspan=""2"" style=""width: 20px"">
				</td>
			<td>
				<h2 class=""communication-title"">
					Communication &amp; Education</h2>
			</td>
		</tr>
		<tr>
			<td>
				<img alt="""" src=""/sites/default/files/assets/news-image.jpg"" style=""width: 315px; height: 164px"" /></td>
			<td>
				<img alt="""" src=""/sites/default/files/assets/publications-image.jpg"" style=""width: 315px; height: 164px"" /></td>
		</tr>
	</tbody>
</table>
"
8,8,page,und,Wealth Management,1,1,1306514312,1436924719,1,0,0,0,0,"<p><a class=""colorbox-load"" href=""[site:url]wealth-management-for-clients"" ><img src=""[site:url]sites/default/files/assets/wealth-management_small.png "" style=""margin: 0px 0px 20px 20px; float: right;"" /></a>Every client who selects Ferguson Wellman is in a unique place in his or her investing life and is facing different opportunities and challenges. Ferguson Wellman's Wealth Management Framework has the flexibility to provide meaningful investment resources suited to address all of our individual and family clients' needs- today and in the future.</p>
<p>We begin our relationships with clients by becoming acquainted with their investment goals and objectives. These discussions then lead to the creation of their investment policy guidelines. Clients receive web or printed quarterly reports that provide an aggregated, comprehensive presentation of their assets. Please visit our<a href=""[site:url]expertise/investment-strategies"">Investment Strategies</a> section for more information on the investment vehicles we create, manage and employ in our customized client portfolios.</p>
<p>We encourage clients to meet with their portfolio manager on a quarterly basis to review their assets, answer questions and proactively identify decision-making points clients may face in the short or long term regarding their investments and financial matters.</p>
<p>From there, clients can follow one of two paths. Some will contact us periodically to help them navigate through other financial challenges and opportunities that arise throughout our relationships. Other clients prefer that we guide them through the milestones we anticipate they will face throughout their lives. We call this path our Wealth Management Framework- and all services are included in clients' fees. Some aspects of this framework include:</p>
<ul>
	<li>Identifying income needs and optimizing after-tax returns</li>
	<li>Aggregating value of assets and assessing net worth</li>
	<li>Collecting and storing pertinent information in the event of an emergency</li>
	<li>Analysis of large purchases and sales</li>
	<li>Providing timely communication regarding the economy and capital markets</li>
	<li>Offering family members education on savings, investing and retirement</li>
</ul>
<p>We continually assess and review our best practices for serving individuals and families through our wealth management committee, comprising six Ferguson Wellman professionals who lead monthly discussions on how we are meeting our clients' needs.</p>
<p>We also work seamlessly with professional partners we can recommend who provide our clients with:</p>
<ul>
	<li>Estate and tax planning</li>
	<li>Trust services, gifting and charitable vehicle options</li>
	<li>Customized lending and private banking</li>
	<li>Expertise on wealth transition and heritage planning</span></li>
	<li>Best practices on family businesses and foundations</span></li>
</ul>
"
9,9,page,und,Family Foundations,1,1,1306514351,1432488953,1,0,0,0,0,"<p>Serving family foundations is founded on Ferguson Wellman's 39 years of experience serving institutions as well as individuals and multi-generational families. Working in partnership with trustees and administrators, we:</p>
<ul>
	<li>
		Establish investment policy guidelines reflecting their goals and objectives</li>
	<li>
		Create and manage investment portfolios designed to foster growth and mitigate risk</li>
	<li>
		Help develop strategies for distribution</li>
	<li>
		Provide investment education programs and resources</li>
	<li>
		Share timely <a href=""[site:url]communication"">communication</a> about the economy and capital markets through email, publications and videos</li>
	<li>
		Can offer best practices about nonprofit management through our:
		<ul>
			<li>
				Leadership experience in serving on more than 70 boards annually</li>
			<li>
				Professional partner organizations we co-host educational events with for clients</li>
		</ul>
	</li>
</ul>
<p>In addition to providing web or printed quarterly reports that provide an aggregated, comprehensive presentation of the foundation's assets, our portfolio managers and analysts meet with trustees and administrators to discuss the portfolio and lead discussions on any investment topics that are needed.</p>
<p>Ferguson Wellman also assists individuals and families who have not yet established a foundation. Through our experience and relationships with expert organizations, we navigate clients through the decision-making process and provide analysis on the most relevant and effective charitable vehicle options.</p>
"
38,38,page,und,Annual Reports,1,1,1307113678,1428345861,0,0,0,0,0,"<p>Serving family foundations is founded on Ferguson Wellman's 39 years of experience serving institutions as well as individuals and multi-generational families. Working in partnership with trustees and administrators, we:</p>
<ul>
	<li>
		Establish investment policy guidelines reflecting their goals and objectives</li>
	<li>
		Create and manage investment portfolios designed to foster growth and mitigate risk</li>
	<li>
		Help develop strategies for distribution</li>
	<li>
		Provide investment education programs and resources</li>
	<li>
		Share timely <a href=""[site:url]communication"">communication</a> about the economy and capital markets through email, publications and videos</li>
	<li>
		Can offer best practices about nonprofit management through our:
		<ul>
			<li>
				Leadership experience in serving on more than 70 boards annually</li>
			<li>
				Professional partner organizations we co-host educational events with for clients</li>
		</ul>
	</li>
</ul>
<p>In addition to providing web or printed quarterly reports that provide an aggregated, comprehensive presentation of the foundation's assets, our portfolio managers and analysts meet with trustees and administrators to discuss the portfolio and lead discussions on any investment topics that are needed.</p>
<p>Ferguson Wellman also assists individuals and families who have not yet established a foundation. Through our experience and relationships with expert organizations, we navigate clients through the decision-making process and provide analysis on the most relevant and effective charitable vehicle options.</p>
"
137,137,page,und,History,1,1,1311359637,1440708177,0,0,0,0,0,"<table cellpadding=""5"" cellspacing=""0"">
	<tbody>
		<tr>
			<td  style=""width: 200px;"">
				<a href=""http://fergusonwellman.com/2014-annual-report""><img alt=""2014 Annual Report"" src=""/sites/default/files/assets/fw_2015_cover.jpg"" style=""width: 120px; height: 160px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2014-annual-report"">Annual Report 2014</a></td>
			<td  style=""width: 200px;"">
				<a href=""http://fergusonwellman.com/2013-annual-report""><img alt=""2013 Annual Report"" src=""/sites/default/files/assets/fw_2013_cover.jpg"" style=""width: 120px; height: 160px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2013-annual-report"">Annual Report 2013</a></td>
		</tr>
		<tr>
			<td  style=""width: 200px;"">
				<p><a href=""http://fergusonwellman.com/2012-annual-report#overlay-context=communication/annual-reports""><img alt="""" src=""/sites/default/files/assets/Untitled%20Extract%20Pages_0.jpg"" style=""width: 120px; height: 165px;"" /><br />
					Annual Report 2012</a></p>
			</td>
			<td  style=""width: 200px;"">
				<a href=""http://fergusonwellman.com/2011-annual-report""><img alt="""" src=""/sites/default/files/assets/FW%202011%20AR%20Final.png"" style=""width: 153px; height: 124px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2011-annual-report"">Annual Report 2011</a></td>
		</tr>
		<tr>
			<td >
				<img alt=""Annual Report 2010"" src=""/sites/default/files/assets/2010ARforweb.jpg"" style=""width: 120px; height: 160px;"" /><br />
				<a href=""http://fergusonwellman.com/2010ar"">Annual Report 2010</a></td>
			<td >
				<a href=""http://fergusonwellman.com/2009ar""><img alt=""Annual Report 2009"" src=""/sites/default/files/assets/2009FinalSizeAnnualReportCover.jpg"" style=""width: 160px; height: 123px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2009ar"">Annual Report 2009</a></td>
		</tr>
	</tbody>
</table>
<p>The views expressed here represent the opinions of Ferguson Wellman Capital Management and are not intended as an investment recommendation or forecast.</p>
"
